name,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
apir_ticker,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
31/05/2012,-0.024718606,0.000427615,-0.0056813,0.100868234,0.090823729,,-0.035068656,,,,-0.035068656,,-0.038668656,-0.043368656,-0.008968656,,-0.011830987,-0.0037,-0.0053,,-0.017595519,,-0.0315
29/06/2012,-0.002736511,0.021362784,-0.016046501,-0.048347706,-0.060789352,,-0.009868656,,,,-0.008968656,,0.002731344,-0.030268656,-0.014968656,,-0.034745579,-0.0118,-0.0091,,-0.006171893,0.001312267,0.0075
31/07/2012,-0.016583172,-0.004248119,-0.01486559,0.001234785,-0.013775477,,-0.018868656,,,,-0.015468656,,0.000531344,-0.007468656,-0.018768656,,-0.023001429,-0.0241,-0.007,,-0.015638524,-0.03175223,-0.0225
31/08/2012,0.041570745,-0.005136407,0.008325367,0.01129209,0.022628375,,0.043331344,,,,0.034731344,,0.009331344,0.010131344,0.042231344,,0.056493648,0.0491,0.0398,,0.045043585,0.050563361,0.0553
28/09/2012,0.018895384,0.006847082,0.00770658,-0.011910709,-0.012376563,,0.020431344,,,,0.025331344,,0.013931344,0.072831344,0.013631344,,0.007189172,0.0191,0.019,,0.021146631,0.021070934,0.0317
31/10/2012,-0.008863079,0.017670036,0.00120653,0.002015605,-0.004718187,,-0.005268656,,,,-0.015568656,,-0.002368656,0.004031344,-0.000168656,,0.010447269,-0.0071,-0.0191,,-0.00519312,0.008467326,0.0083
30/11/2012,0.00645165,-0.015382225,-0.0025116,0.004309089,-0.0000597,,0.013531344,,,,0.005731344,,0.004631344,0.019331344,-0.001768656,,0.015735745,0.0084,0.006,,0.006740442,0.00314078,0
31/12/2012,0.020695806,0.017440957,0.015340309,-0.008814978,-0.01699028,,0.024231344,,,,0.049131344,,0.002031344,0.033331344,0.017331344,,0.015991166,0.0271,-0.005,,0.023353722,0.04957489,0.0399
31/01/2013,0.043125416,0.015642121,0.007457554,0.001885728,-0.00990727,,0.020431344,,,,0.049331344,,0.026131344,0.019431344,0.029931344,,0.052473089,0.0598,0.041,,0.045890703,0.057931826,0.0571
28/02/2013,0.019381164,-0.009293802,0.007458671,0.040522641,0.033442148,,0.015631344,,,,-0.007668656,,0.003531344,0.029231344,0.001931344,,0.026812025,0.0314,0.0258,,0.019021546,0.001295552,0.0097
29/03/2013,0.00471216,-0.005188155,0.011792138,-0.003696999,-0.001677015,,-0.0000687,,,,-0.010268656,,0.022631344,-0.050368656,0.000531344,,0.01541855,0.0262,0.0069,,0.006124091,-0.001471503,0
30/04/2013,0.033565597,0.015999506,-0.02001162,0.033661775,-0.002715741,,0.014131344,,,,0.027631344,,0.011431344,0.029931344,0.020231344,,0.008090362,0.0205,0.0281,,0.035350963,0.050912267,0.0341
31/05/2013,0.07924145,-0.000197742,0.011409457,0.076170286,0.082451289,,0.086131344,,,,0.092331344,,0.008731344,0.079531344,0.086031344,,0.125873248,0.1098,0.0905,,0.088448554,0.101653131,0.0999
28/06/2013,0.02429798,0.004012547,0.002748606,0.067956358,0.062440756,,0.004931344,,,,-0.008868656,,0.007031344,-0.031868656,0.033531344,,0.027959316,0.0407,0.0233,,0.023086481,0.013737317,0.0187
31/07/2013,0.069122005,-0.001320048,0.012625314,0.032200059,0.015605497,,0.070931344,,,,0.046331344,,0.018431344,0.027431344,0.042131344,,0.094646442,0.0735,0.0633,,0.074487768,0.087133852,0.0851
30/08/2013,-0.016601,-0.009646257,0.002088776,-0.013006018,0.005270301,,-0.013568656,,,,0.000431344,,-0.003868656,-0.009768656,0.001331344,,-0.009173456,-0.0212,-0.0119,,-0.015037623,-0.009993801,-0.0111
30/09/2013,-0.000272858,-0.007243424,0.019862046,-0.029165725,-0.050881182,,0.012831344,,,,0.006631344,,0.016831344,-0.000468656,-0.028968656,,0.014402433,-0.0081,-0.0099,,-0.000571902,-0.000801495,0
31/10/2013,0.023416255,0.009460205,-0.010491686,-0.0031453,-0.018802137,,0.008831344,,,,0.025231344,,0.008531344,0.019531344,0.003631344,,0.022199067,0.0291,0.0294,,0.025514302,0.027760472,0.0286
29/11/2013,0.056904024,-0.003285223,-0.00258046,0.054589066,0.043920046,,0.048831344,,,0.037131344,0.057931344,,0.008631344,0.043331344,0.047631344,,0.057430297,0.0642,0.0729,,0.056897153,0.062076183,0.059
31/12/2013,0.039096857,-0.004756141,0.003413536,0.035647307,0.027440265,,0.048331344,,,0.035231344,0.035031344,,0.019831344,0.019331344,0.033031344,,0.055249625,0.0491,0.0429,,0.044398752,0.040176535,0.0446
31/01/2014,-0.019243657,0.000831168,0.020982868,0.025925672,0.015426001,,-0.029468656,,,0.007331344,-0.027668656,,0.006131344,-0.023068656,0.002231344,,-0.006086401,-0.0098,-0.0237,,-0.012029546,-0.00531629,-0.0095
28/02/2014,0.027611592,-0.006892292,0.003907632,-0.012158101,-0.016535181,,0.022031344,,,0.010731344,0.013531344,,0.013331344,0.019231344,0.012031344,,0.032482017,0.0328,0.0312,,0.023002525,0.022328624,0.0178
31/03/2014,-0.037177087,0.021128724,-0.007230357,-0.050940797,-0.032433332,,-0.046568656,,,-0.015068656,-0.023468656,,-0.017968656,-0.048468656,-0.027368656,,-0.041568798,-0.0306,-0.0372,,-0.034314215,-0.026110945,-0.0274
30/04/2014,0.00780545,0.012405104,-0.029175652,-0.026336663,-0.00491327,,-0.016568656,,,0.002531344,0.008431344,,-0.020768656,0.014331344,0.005131344,,-0.019947764,0.0028,0.0157,,0.010292347,0.009100017,0.0109
30/05/2014,0.015521742,-0.012720708,-0.008420894,-0.004885945,0.000977818,,0.021231344,,,0.025131344,0.021531344,,0.009731344,0.025931344,0.000731344,,0.00337584,0.0194,0.0148,,0.015416322,0.012380046,0.0085
