Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Mercer Australian Inflation Plus,MIN31AU,2.968277802781109,-0.43898863160234025,1.1867731459388406,1.5132023355563855,-2.7844956679447574,Alpha,nan,0.03595295803025306,174,Mercer Australian Inflation Plus
Perpetual WFIA-Perpetual Diversified Inc,PER49AU,2.1203799255546114,3.5162308151699295,1.4151791449819897,7.65746844168196,4.6308060171322145,Domestic FRN,Domestic Credit,0.027419410436414323,189,Perpetual WFIA-Perpetual Diversified Inc
WealthFocus Perpetual Diversified Income,PER284AU,4.055525262239264,3.309872701518409,1.5324203267279972,8.457104192382358,5.9957250079828714,Domestic FRN,Domestic Credit,0.0289296777392394,224,WealthFocus Perpetual Diversified Income
Perpetual Diversified Income,PER26AU,6.092592891830926,3.5058286493091995,1.6752196077278807,8.47730196078716,6.159988102425828,Domestic FRN,Domestic Credit,0.028778372695199835,226,Perpetual Diversified Income
Perpetual Credit Income,PER263AU,6.581426304642046,3.489745910335488,1.3049396891203104,6.304541063142374,5.950732325672857,Domestic FRN,Domestic Credit,0.028453060680644692,237,Perpetual Credit Income
Macquarie Income Opportunities,MAQ277AU,3.6291811016858317,4.684702611129117,9.15827433983917,6.299953056159405,6.471825790114105,Domestic Duration,Domestic FRN,0.024078802635369084,244,Macquarie Income Opportunities
Pendal Enhanced Credit,RFA1AU,6.485664674599772,18.803142801702727,52.285605375334875,2.618723438424268,0.49384589364278264,Domestic Duration,Domestic Credit,0.009850936804431979,244,Pendal Enhanced Credit
Yarra Enhanced Income Fund,JBW18AU,3.1917793297103048,-2.0614000637723993,0.9015814477601787,10.336146082690872,3.650497201498573,Domestic FRN,nan,0.059079586860622126,244,Yarra Enhanced Income Fund
Yarra Enhanced Income Fund (Direct),JBW118AU,2.515199902357387,-2.0712993372416904,0.8857540814201852,10.344751739008109,3.6402332918316618,Domestic FRN,nan,0.05911191727121304,244,Yarra Enhanced Income Fund (Direct)
PM Capital Enhanced Yield,PMC13AU,6.904567074212883,1.8321988914928145,1.949449746104546,4.525524937786033,5.758040875342022,Domestic FRN,nan,0.027929585001395817,244,PM Capital Enhanced Yield
Schroder Absolute Return Income Fund -WC,SCH13AU,3.7075203880183873,-1.1273649074335483,1.3143850617770525,9.473827410731914,4.8894239505449475,Domestic FRN,nan,0.04024302899437851,244,Schroder Absolute Return Income Fund -WC
Schroder Absolute Return Income Fund -PC,SCH24AU,3.902704111672786,-1.0997887951385166,1.3129528522428813,9.443961508633286,4.89548472311581,Domestic FRN,nan,0.040262860754973706,244,Schroder Absolute Return Income Fund -PC
Macquarie Corporate Bond,AMP263AU,4.772925820264945,8.261290017413167,7.6569809980261,-1.1476196102545295,-1.040652747992493,Domestic Credit,Domestic Duration,0.01929998007609758,243,Macquarie Corporate Bond
UBS Income Solution Fund,UBS3AU,2.673101342703877,0.006889740829093691,3.698931085725235,9.158253272295036,4.5883571231298195,Domestic FRN,Domestic Duration,0.03821630173913039,244,UBS Income Solution Fund
Bentham Defensive Income A,CSI521AU,-0.45685128420201343,1.7559863787769614,9.594172756199645,2.2207855353589796,0.44487540583276447,Domestic Duration,nan,0.03298295935631921,25,Bentham Defensive Income A
Perpetual Diversified Income S,PER158AU,3.1625007372267984,1.901411999524774,0.6190590977718606,1.4689313746034536,3.0251251422700713,Alpha,nan,0.03230925049917168,30,Perpetual Diversified Income S
Fortlake Sigma Opportunities,TAL1576AU,2.7059505474470757,0.9628446129927029,0.4457962707045054,-0.8770056789022859,-0.4005016210171,Alpha,nan,0.06571874721887223,44,Fortlake Sigma Opportunities
Artesian Green & Sustainable Bond,ETL8782AU,2.8891773679060577,4.366704739638252,14.6667791909154,0.6547595815643767,0.7021923559306594,Domestic Duration,Domestic Credit,0.013719867620679596,47,Artesian Green & Sustainable Bond
Macquarie Income Opportunities No.1 W,MAQ942AU,4.048461962766923,3.121320668589059,12.697219602716473,-0.3187870685239528,6.8636036089025465,Domestic Duration,Domestic Credit,0.018378071454035014,44,Macquarie Income Opportunities No.1 W
Yarra Enhanced Income A,JBW9312AU,5.538253607873371,1.7656350333774347,2.9362329000328153,0.9626827734892192,2.583154358619021,Domestic Duration,nan,0.028350622456568608,48,Yarra Enhanced Income A
Regnan Credit Impact Trust,PDL5969AU,7.239546261617305,3.809211564391378,-0.5097422834942159,3.5667598122650577,1.196737445638009,Domestic Credit,Domestic FRN,0.030770747168806397,55,Regnan Credit Impact Trust
