Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Macquarie Income Opportunities,MAQ277AU,-2.938186580855932,2.3232497004747112,9.466475041452611,9.772197891825323,6.109390284213211,Domestic FRN,Domestic Duration,0.024078802635369084,244,Macquarie Income Opportunities
Pendal Enhanced Credit,RFA1AU,-8.460250561066621,13.495581375253803,53.44235323572917,9.387234604963734,-1.3666174433460245,Domestic Duration,Domestic Credit,0.009850936804431979,244,Pendal Enhanced Credit
Yarra Enhanced Income Fund,JBW18AU,0.8615001469043501,-2.999608816373051,0.7765999523917689,11.409338727097012,3.3762228855865506,Domestic FRN,nan,0.059079586860622126,244,Yarra Enhanced Income Fund
Yarra Enhanced Income Fund (Direct),JBW118AU,0.18326525158399576,-3.0088285389596034,0.7607177887390181,11.41658475055057,3.3658222452862745,Domestic FRN,nan,0.05911191727121304,244,Yarra Enhanced Income Fund (Direct)
PM Capital Enhanced Yield,PMC13AU,0.6757281025934334,-0.6702214534627312,1.6638096101407074,7.532787122370494,5.164883217825442,Domestic FRN,nan,0.027929585001395817,244,PM Capital Enhanced Yield
Schroder Absolute Return Income Fund -WC,SCH13AU,-0.023518850424201456,-2.656526730843692,1.130596621660083,11.324508514939353,4.512931212056006,Domestic FRN,nan,0.04024302899437851,244,Schroder Absolute Return Income Fund -WC
Schroder Absolute Return Income Fund -PC,SCH24AU,0.17865764689332855,-2.628489072437069,1.1298778311435687,11.298356098280859,4.521769223440515,Domestic FRN,nan,0.040262860754973706,244,Schroder Absolute Return Income Fund -PC
Macquarie Corporate Bond,AMP263AU,-1.5962530049946564,5.776841449186892,7.372302015244064,1.659575330545817,-1.8263743290338856,Domestic Duration,Domestic Credit,0.01929998007609758,243,Macquarie Corporate Bond
UBS Income Solution Fund,UBS3AU,-1.021076956160953,-1.4622994726903265,3.510964185375527,10.823690959253208,4.149515310717221,Domestic FRN,Domestic Duration,0.03821630173913039,244,UBS Income Solution Fund
Bentham Defensive Income A,CSI521AU,-1.6853286844966524,1.5302908027875088,9.337608882084654,2.2763508477502254,0.3930787450603717,Domestic Duration,nan,0.03298295935631921,25,Bentham Defensive Income A
Perpetual Diversified Income S,PER158AU,0.6274818202967043,1.3712496718106635,0.2375122943126052,1.4510700310955178,3.1806156781569377,Alpha,nan,0.03230925049917168,30,Perpetual Diversified Income S
Fortlake Sigma Opportunities,TAL1576AU,2.262482319173667,0.7812796589618775,0.3867811801158415,-0.9530841831694163,-0.46799404258624605,Alpha,nan,0.06571874721887223,44,Fortlake Sigma Opportunities
Artesian Green & Sustainable Bond,ETL8782AU,-0.12367542015921738,3.154714865519613,13.903188191188061,0.5399298749018325,0.6829948490134755,Domestic Duration,Domestic Credit,0.013719867620679596,47,Artesian Green & Sustainable Bond
Macquarie Income Opportunities No.1 W,MAQ942AU,1.8649116794247735,2.302619285911082,12.982865216591064,-0.6906076576875217,6.859977498537454,Domestic Duration,nan,0.018378071454035014,44,Macquarie Income Opportunities No.1 W
Yarra Enhanced Income A,JBW9312AU,3.658259210106977,1.0060148525247774,2.634300482578754,0.8958095304800304,2.5689373314798267,Domestic Duration,nan,0.028350622456568608,48,Yarra Enhanced Income A
Regnan Credit Impact Trust,PDL5969AU,2.2758465994061647,1.7272040751707616,-1.7579261374675657,5.3870547055409,1.8695733010433286,Domestic FRN,nan,0.030770747168806397,55,Regnan Credit Impact Trust
Yarra Higher Income Fund,JBW4379AU,-0.9418200359952964,2.823122107106338,-0.5887563880884531,3.593078044215961,-0.09270953515752936,Domestic FRN,Domestic Credit,0.042898798509097454,70,Yarra Higher Income Fund
Schroder Absolute Return Income Fund -IC,SCH3568AU,-0.907692753207027,3.021365704340119,4.916287408908513,6.131551217616115,1.4143442831843736,Domestic FRN,Domestic Duration,0.025772830059236654,68,Schroder Absolute Return Income Fund -IC
Alexander Credit Income Fund,ETL285AU,1.7247214703556601,0.997078230466277,-1.2464374836129777,4.30663762001227,0.5522981133443835,Domestic FRN,nan,0.03353995212038858,68,Alexander Credit Income Fund
Realm High Income mFund Units,OMF1394AU,3.4131568551703704,3.1055057141548765,5.619794819650436,0.28580000450314835,3.8393939428902817,Domestic Duration,Domestic Credit,0.026391798297500452,66,Realm High Income mFund Units
