Fund,APIR Code,const,Global Duration,Global Credit,Global High Yield,Currency,EM Debt,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
BT WE BT Macquarie Diversified Fixed Int,WFS379AU,-1.0197152837666295,6.230562436244962,1.3522540026349825,-0.22780093074738017,2.314541803344893,6.829964208579182,Global Duration,nan,0.03580124067392253,236,BT WE BT Macquarie Diversified Fixed Int
CFS Macquarie Dynamic Bond,FSF39AU,-1.2006992236255873,6.574555752087885,1.6979452776669943,1.9913363208341972,-0.22359457165801314,4.201317288330935,Global Duration,nan,0.03798162617399168,244,CFS Macquarie Dynamic Bond
Specialist Diversified Fixed Interest,MMC12AU,-2.3078496527802335,2.026409509172944,2.023517272983928,-0.25846031553710214,3.227961472251142,5.254227994303999,Alpha,nan,0.03797386541047991,244,Specialist Diversified Fixed Interest
CFS Fixed Interest,FSF488AU,0.7498509070070247,8.91402895517753,4.515438851728297,-2.5691392947359613,3.4561441160337107,10.053945849183387,Global Duration,Global Credit,0.03302549376705402,244,CFS Fixed Interest
Experts' Choice Diversified Fixed Inc,HLR1AU,0.6740811687076778,6.385796146633901,1.6515666923555767,-0.6575103952331858,1.993957230556542,6.539149232200727,Global Duration,nan,0.036125522255402866,244,Experts' Choice Diversified Fixed Inc
Macquarie Dynamic Bond,MAQ274AU,0.516032645580732,6.850843242919125,2.254391842685522,-0.6082108666207834,2.13830572968762,6.938345442998919,Global Duration,nan,0.0356918748099725,244,Macquarie Dynamic Bond
UBS Diversified Fixed Inc Retail H,SBC7AU,1.8784170891685779,7.944738049039522,3.5288301790326067,-4.231690438382115,1.3226101740306817,6.3688652270824235,Global Duration,Global Credit,0.039518026180227116,244,UBS Diversified Fixed Inc Retail H
PIMCO Diversified Fixed Interest Fund,ETL116AU,2.0294404058099182,8.509401024478432,4.408119423906843,-1.8910510859095127,2.221147535478288,7.211039049971124,Global Duration,Global Credit,0.03287694229723282,244,PIMCO Diversified Fixed Interest Fund
PIMCO Diversified Fixed Interest W,ETL16AU,1.9087989358757247,8.584172484122758,4.436122001887021,-1.8895309289423612,2.152045511266156,7.1885586410016735,Global Duration,Global Credit,0.03286728110703612,244,PIMCO Diversified Fixed Interest W
Fiducian Fixed Income,FDN553AU,1.332332950894233,5.465316601646941,1.0343206652299393,-1.6523516223141197,1.2112887398104313,4.699280195217666,Global Duration,nan,0.029098072043542183,146,Fiducian Fixed Income
Morningstar Multi-Asset Defensive A,INT9156AU,0.9698212071966255,3.223812619117737,0.16111270077378584,0.5253149530526876,1.520873631032235,2.9120600100232865,Global Duration,nan,0.01791234419432739,43,Morningstar Multi-Asset Defensive A
Strategic Sustainable Global Bond,NAB399AU,-1.4203269330651145,6.362374053906066,3.917913285213195,0.17266216903381898,-1.664257380488341,-0.5568338632315011,Global Duration,Global Credit,0.040464411362008575,38,Strategic Sustainable Global Bond
Macquarie Dynamic Bond No.1 W,MAQ3897AU,-0.84282029272467,6.3820690229441865,2.588897603260598,1.5116880103761239,-2.3245656612746735,-0.8960838551999714,Global Duration,Global Credit,0.025796373252568054,44,Macquarie Dynamic Bond No.1 W
PIMCO WS Plus Diversified Fixed Interest,BTA499AU,0.37571354674745805,5.174768095049717,2.1991456613655473,-1.498803697657809,1.7523183383541994,4.809744866302091,Global Duration,nan,0.025551005862041343,112,PIMCO WS Plus Diversified Fixed Interest
Specialist Diversified Fixed Income,AMP1992AU,0.12318671416436162,4.758124586846699,1.9361774049064315,-1.496884926213461,1.1162728643481836,4.424486319261017,Global Duration,nan,0.029336247066792633,121,Specialist Diversified Fixed Income
AMP FLI S2-Specialist Divers FixedIncome,AMP1991AU,-1.0548729887393455,4.720678226802061,2.0109839311185285,-1.4862995436577802,1.0229674095628254,4.268573409156161,Global Duration,nan,0.02951643961303172,121,AMP FLI S2-Specialist Divers FixedIncome
Implemented Fixed Income Portfolio,PER71AU,0.5190465599899903,4.491975089093163,1.6071518933195201,-0.7899757776342413,1.8496861419720037,4.141488876301172,Global Duration,nan,0.02357831294811549,128,Implemented Fixed Income Portfolio
CFML Fixed Interest,NRM3AU,0.04017094346977922,4.890701342437894,1.7508189103207559,-0.82861020069396,0.6540532017773497,4.719132184269884,Global Duration,nan,0.03019520858035905,152,CFML Fixed Interest
Strategic Fixed Interest,DFA15AU,2.147027201904626,2.2923547158658164,4.492730925793392,-3.307735560128593,1.8743062236866037,3.0442806901922315,Global Credit,nan,0.029661716531250604,155,Strategic Fixed Interest
Vanguard Diversified Bond Index,VAN42AU,2.1490613182519827,7.955394290972149,5.021743350605145,-5.856026771383894,2.7353910511472543,7.404314141204527,Global Duration,Global Credit,0.02895602913426427,159,Vanguard Diversified Bond Index
Macquarie Global Income Opportunities Fd,MAQ324AU,-0.7585759052746364,4.672542686678346,5.473250551979846,1.2416100383019344,-0.41474230892369934,1.500847896855722,Global Credit,Global Duration,0.036045857120475616,244,Macquarie Global Income Opportunities Fd
Vanguard International Crdt Secs Idx Hdg,VAN16AU,2.2246192188701523,9.205247178570371,9.8450460659945,-7.568360078095244,6.293427202847811,11.115870163524745,Global Credit,Global Duration,0.03193384499389926,244,Vanguard International Crdt Secs Idx Hdg
Principal Global Credit Opportunities,PGI1AU,-1.9999319693355941,4.4093992503265715,1.8018194636900735,4.447075824129134,-0.2219445686675493,0.5388222726309315,Global High Yield,Global Duration,0.059957549091147894,243,Principal Global Credit Opportunities
UBS Global Credit Fund,UBS13AU,-0.6214598365979422,8.564714785373207,9.019021264607087,-2.9442149508721607,3.3869110427493077,6.440836477901785,Global Credit,Global Duration,0.035431680520805524,244,UBS Global Credit Fund
CFS Janus Henderson Diversified Credit,FSF84AU,-3.352163297178614,2.2308164350850848,3.5187581094588842,11.656562723362724,0.19653826870063204,0.5584736831774185,Global High Yield,Global Credit,0.04092540376837769,244,CFS Janus Henderson Diversified Credit
PIMCO Global Credit Fund,ETL114AU,2.8908809013291115,8.567395217326528,5.088870497868215,-2.4358671014067963,4.841226592896698,8.88959769225869,Global Duration,Global Credit,0.03036165094853895,244,PIMCO Global Credit Fund
PIMCO Global Credit W,ETL19AU,2.8153157298302562,8.570481888718296,5.078099567361589,-2.415368074775291,4.844868827933326,8.87680580743616,Global Duration,Global Credit,0.030337636147663133,244,PIMCO Global Credit W
Robeco SDG Credit Income (AUD Hdg) C,ETL6785AU,-0.20427259017997082,2.2900907233059358,1.9278831317756755,0.08298289534298393,0.9848160554313765,0.9258793825419434,Alpha,nan,0.03906864481255851,26,Robeco SDG Credit Income (AUD Hdg) C
Challenger IM Credit Income A,HOW813AU,5.621615332953368,3.3984635021671843,0.4818017589259494,5.571758715386211,-2.0039460539920047,-1.3441502901058828,Global High Yield,Global Duration,0.03688502755924544,46,Challenger IM Credit Income A
Robeco SDG Credit Income (AUD Hdg) B,ETL771AU,-0.2677943969732166,4.276873090004662,2.8832462563729426,1.2191461812726125,0.5179088777080779,0.6788530858077033,Global Duration,Global Credit,0.03510522993453568,44,Robeco SDG Credit Income (AUD Hdg) B
Robeco SDG Credit Income (AUD Hdg) A,ETL6171AU,-0.2203708881637142,4.300776139555095,2.816883580193592,1.2899055861206825,0.4720847382578449,0.6272704128265947,Global Duration,Global Credit,0.035155557001548945,44,Robeco SDG Credit Income (AUD Hdg) A
Challenger IM Credit Income P,HOW829AU,2.1079090666609965,1.7653321015800907,1.5133312008319144,3.616461994186493,-0.9061154882099282,0.2543998349932343,Global High Yield,nan,0.036784203456765176,58,Challenger IM Credit Income P
Vanguard Active Global Credit Bond,VAN3932AU,-0.8281205832217805,10.380531045851376,9.187233386315711,-0.5735481857301281,-1.2304672737246791,-0.24309510299063003,Global Duration,Global Credit,0.0347236635570026,57,Vanguard Active Global Credit Bond
BlackRock Fixed Inc Glb Oppos (Aust) E,BLK1AU,-2.1375640395077737,1.5482364170953893,1.216720338658195,1.309160346543728,0.21197265292996983,0.22913498451243053,Alpha,nan,0.048550779863508114,102,BlackRock Fixed Inc Glb Oppos (Aust) E
Schroder Global Corporate Bond Fund - IC,SCH77AU,0.6005493395288568,6.949963583100756,8.44485055797965,-2.1719275824147046,3.88838913092682,5.647109575663555,Global Credit,Global Duration,0.03845931665814776,145,Schroder Global Corporate Bond Fund - IC
Schroder Australian Hi Yielding Crdt -IC,SCH5AU,-0.9880366183668874,2.5714790243218575,1.7688471288198784,8.061929598098272,-1.9712080771954157,-0.9707648310746246,Global High Yield,nan,0.04808609578680415,244,Schroder Australian Hi Yielding Crdt -IC
Challenger IM Credit Income I,HOW55AU,3.8851708121757547,0.8610075499311655,0.4445620013211378,4.067314732679383,0.2415713263902828,1.2202008687752823,Global High Yield,nan,0.03472911654801736,82,Challenger IM Credit Income I
Bentham Asset Backed Securities I,HOW2852AU,0.32694726391715245,1.3951579338362097,0.1916106465588566,2.077869139017442,0.9369747734160488,1.7273608302640377,Alpha,nan,0.03584529817349928,93,Bentham Asset Backed Securities I
BlackRock Fixed Income Global Opps Cl D,BLK3AU,-1.1819232959729677,3.0287150537204686,3.8160680787370684,1.75526698518535,1.9324230299076222,2.1449361802735627,Global Credit,Global Duration,0.027987423891381043,120,BlackRock Fixed Income Global Opps Cl D
Mercer Global Credit Fund,MIN32AU,1.3972506868789196,6.685886546174443,8.614978057582965,-4.560221130703544,5.803471249279704,8.851128760546688,Global Credit,Global Duration,0.030242710605752062,174,Mercer Global Credit Fund
Mercer Global Sovereign Bond Class 1,MIN28AU,1.992950021718701,2.7312153916408444,2.359923120103453,-3.468068340531507,2.6744464137048856,5.393785839736701,Global Duration,nan,0.04770988805137978,205,Mercer Global Sovereign Bond Class 1
Brandywine Glb Oppc Fxd Inc A,SSB14AU,1.6114638168351691,1.3974473273706725,1.8015519483001698,-1.8529727475282838,5.715665069886386,6.040746027848048,Alpha,nan,0.05206175486186893,160,Brandywine Glb Oppc Fxd Inc A
Russell International Bond $A Hedged A,RIM7AU,0.9525520024661851,4.757927168362049,4.133309181885442,-2.156452238611384,4.054106450327716,7.221453216872276,Global Duration,Global Credit,0.03652660836950575,244,Russell International Bond $A Hedged A
Mercer Indexed International Fixed Int,ADV58AU,4.263832795134574,9.011975857971525,5.658543937736139,-8.0326786625678,5.212714465520885,10.26368206809461,Global Duration,Global Credit,0.031166303803481874,207,Mercer Indexed International Fixed Int
Dimensional 2-Yr Sustainability F/I AUD,DFA2AU,-0.31877369921928217,4.773030867126565,1.8931185274902145,-1.5813151861422574,1.713660141527267,4.00923944526312,Global Duration,nan,0.03598171402541045,224,Dimensional 2-Yr Sustainability F/I AUD
Dimensional Five-Year Diversified F/I,DFA18AU,2.0153825681488176,5.29910883488653,4.411022922193267,-4.379146815140224,2.3082617922751703,5.174452111705922,Global Duration,Global Credit,0.03534269371436553,244,Dimensional Five-Year Diversified F/I
Macquarie True Index Global Bond,MAQ267AU,-0.67090015929957,1.8585796365996412,0.0910577938428334,-1.1615463127639163,-0.9989178932803474,0.7385127976477839,Alpha,nan,0.09688467358750318,187,Macquarie True Index Global Bond
Vanguard International Fxd Intr Idx Hdg,VAN13AU,4.102141360237551,7.835723225943453,4.550228565410896,-9.74510645302959,5.313718318148248,10.160900591767,Global Duration,Global Credit,0.03860725729615547,244,Vanguard International Fxd Intr Idx Hdg
CFS Wholesale Indexed Global Bond,CFM46AU,3.847534545306176,8.627144443247458,4.645374430708691,-8.973673129780082,4.522965538735678,9.396653834566427,Global Duration,Global Credit,0.03789934251992225,244,CFS Wholesale Indexed Global Bond
AMP Gen-BlackRock Intl Fix Int Ind,NML576AU,1.3855855193209068,10.091608021593073,6.444637438926666,-8.075840712251479,4.799206400038629,9.8599323642437,Global Duration,Global Credit,0.03329190236456951,240,AMP Gen-BlackRock Intl Fix Int Ind
Advance Int Fix Intr Multi-Blend W,ADV67AU,2.8473745361916225,8.018839174569612,5.0440254874641335,-4.109463441813751,5.222592485139497,9.48842592061796,Global Duration,Global Credit,0.029076496333152867,244,Advance Int Fix Intr Multi-Blend W
State Street Global Fixed Income Idx Tr,SST9AU,1.3953231159383335,6.129630533578538,2.6840413460219774,-5.095655429485012,1.5116468123052746,4.6816967578629995,Global Duration,Global Credit,0.04673296649078072,244,State Street Global Fixed Income Idx Tr
Macquarie Hedged Index Global Bond Fund,MAQ266AU,4.8427380303066645,8.710486973118822,4.524200808850148,-9.912565530072863,4.726418274731794,9.51196395211719,Global Duration,Global Credit,0.03933412527425301,244,Macquarie Hedged Index Global Bond Fund
UBS International Bond Fund,SBC819AU,0.2939581633990048,9.216100561136182,7.58173374293654,-5.418677006131332,4.102153776658888,8.360841248555607,Global Duration,Global Credit,0.02959000928575717,244,UBS International Bond Fund
PIMCO Global Bond Institutional,ETL112AU,1.0572550789051365,3.386196388377492,3.339888542316459,-1.4407345532785865,1.0317798541242416,1.629417062729113,Global Duration,Global Credit,0.06148696320738661,244,PIMCO Global Bond Institutional
PIMCO Global Bond W,ETL18AU,1.918640199433631,8.4133171922356,6.995539538021467,-2.310807845241313,3.627473563775732,6.415150236116545,Global Duration,Global Credit,0.03051543243163802,244,PIMCO Global Bond W
Loomis Sayles Global Credit,FSF1769AU,-0.7519141798904733,3.979867954039608,4.3262964094071865,-2.044188948098638,1.9209880871743183,2.8316451740474333,Global Credit,Global Duration,0.03718500254465108,100,Loomis Sayles Global Credit
MFS Global Opportunistic Fixed Inc Tr I,ETL738AU,-1.4513246731887244,4.417561295119408,1.1177843307087387,1.2522344465179323,-0.0034526748159173807,0.3911221090520978,Global Duration,nan,0.035472097825559865,57,MFS Global Opportunistic Fixed Inc Tr I
Colchester Global Green Bond I,ETL65AU,-2.2961837638700913,3.562354497208031,1.6544292363758086,1.092460492062996,-1.125424770583538,0.025304592124853278,Global Duration,nan,0.04648010658367495,26,Colchester Global Green Bond I
Ardea Diversified Bond A,HOW8543AU,0.13261820689521084,3.7957838068926044,0.9991950588959619,-0.0811990626992386,-2.5261405984499494,-0.22611499481022923,Global Duration,nan,0.05585482545064289,66,Ardea Diversified Bond A
PIMCO ESG Global Bond - Institutional,PIC9673AU,-0.47067669898772846,6.573127358570147,3.5981982926166656,-1.8971319741489276,1.9452181860549473,3.5967784538150775,Global Duration,Global Credit,0.018872306553378692,89,PIMCO ESG Global Bond - Institutional
AXA IM Global Green Bond Fund,ETL91AU,-3.243714440099626,3.625749004353544,3.106979781082973,1.1875009538636028,-0.6811932116790501,0.5962223782486197,Global Duration,Global Credit,0.044143943025340644,28,AXA IM Global Green Bond Fund
JPMorgan Global Bond T,PER3899AU,-1.0744109939753907,3.275370822220906,1.3188670557822895,0.2583184236397304,-0.32431021238287255,0.3439929065682498,Global Duration,nan,0.022941450607395036,26,JPMorgan Global Bond T
JPMorgan Global Bond A,PER6912AU,-1.200372171636334,3.270814507644784,1.3198338757939843,0.25853242844244084,-0.3190791728979887,0.3548119857166701,Global Duration,nan,0.022973467307857553,26,JPMorgan Global Bond A
Colchester Global Government Bond R,ETL2648AU,-0.2630881227384318,1.8525951475893416,0.0160794723804089,-1.4241639899262237,1.0715533829749908,1.5386555796082413,Alpha,nan,0.02690043703197753,29,Colchester Global Government Bond R
iShares ESG Screened Global Bond Index S,BLK414AU,-1.7512396889748885,5.778847583656978,3.3280146789378064,-0.34786965618206395,-1.3358492619576479,-0.44958309351769055,Global Duration,Global Credit,0.021280963084645027,33,iShares ESG Screened Global Bond Index S
Western Asset Global Bond M,SSB3326AU,-1.0104494258827028,5.791003130004343,2.5535681588904193,0.0011126492130321436,-0.9202503646550074,0.02812877769262163,Global Duration,nan,0.03575179217864053,33,Western Asset Global Bond M
Capital Group Global Total Ret Bd (AU),CIM9121AU,-0.9252980406913329,6.346885280209606,2.4425937682358487,0.8840218569682178,-0.5689189223967294,0.8615008736147038,Global Duration,nan,0.038748510828193666,44,Capital Group Global Total Ret Bd (AU)
MFS Global Opportunistic Fixed Income Tr,ETL687AU,-0.9430243325611942,6.638306365111005,3.493505774545651,0.8150485173852018,0.16557394350714827,1.5234958423236744,Global Duration,Global Credit,0.026946841292489514,57,MFS Global Opportunistic Fixed Income Tr
abrdn Global Corporate Bond P,EQI6923AU,-0.6019355915323872,7.156387562864629,6.491453516948504,-1.5088596152870821,0.07562755256575869,1.2933944455314712,Global Duration,Global Credit,0.03432439523005094,42,abrdn Global Corporate Bond P
iShares ESG Screened Global Bond Index D,BLK4636AU,-1.016842424547687,7.234039352004573,4.740080260551436,-2.5588463619900677,-0.2854341811689192,1.331158945469953,Global Duration,Global Credit,0.023116716138383623,61,iShares ESG Screened Global Bond Index D
AMP International Fixed Intst Idx Hdg,AMP7626AU,-0.8511681198044168,5.6211999700972175,3.6801099282521994,-2.333540369493535,0.04126403129797968,1.4575409811742288,Global Duration,Global Credit,0.020176796377804788,51,AMP International Fixed Intst Idx Hdg
CC JCB Global Bond A Hedged,CHN4711AU,-0.9526620475427359,7.358495061782888,5.1304980647636125,-2.858887334688519,-1.812018842687455,0.18139493808381396,Global Duration,Global Credit,0.03071017276727472,66,CC JCB Global Bond A Hedged
Western Asset Global Bond B,SSB3825AU,-0.27542042419079044,7.233376640594944,3.590752385496479,-0.989684307894736,1.224750415743808,2.453055017710155,Global Duration,Global Credit,0.02764514835001065,66,Western Asset Global Bond B
Western Asset Global Bond MPS,WFS2912AU,-0.4906578489760061,6.930061267443397,2.9276565172327706,-0.596938329349067,1.5461055334534923,3.1750268856181223,Global Duration,Global Credit,0.024860906392211366,69,Western Asset Global Bond MPS
Wellington Global Bond MPS,WFS9233AU,-0.7233562362676005,6.747866311891494,4.85484971891817,-2.960319477380911,0.4753120685983582,2.4101187501787695,Global Duration,Global Credit,0.021182472539794307,70,Wellington Global Bond MPS
PIMCO Global Fixed Interest MPS,WFS3742AU,-0.5186612782069479,6.091216382844705,2.9225351625372156,-0.43587594191869394,1.0587175739728418,2.383984809763464,Global Duration,Global Credit,0.0187389589419093,70,PIMCO Global Fixed Interest MPS
Capital Group Global Corp Bond Hedged,CIM161AU,-1.2459560023801313,10.000603053509224,9.98227929611594,-1.7878715698988206,0.20738307933361147,0.9608960940803304,Global Duration,Global Credit,0.03632109455524988,70,Capital Group Global Corp Bond Hedged
Vanguard Etclly Cons Glb Agg Bd IdxHAUDH,VAN2989AU,-1.5152684408263393,6.554804611880397,4.300761002092185,-1.44572803389065,-1.1345674478048886,0.5803676613969476,Global Duration,Global Credit,0.028377973450680393,69,Vanguard Etclly Cons Glb Agg Bd IdxHAUDH
abrdn Global Corporate Bond A,ETL132AU,-0.496807730879791,5.130240243369182,8.745618525479411,-3.8812609457287697,4.757080569052926,6.603350875154596,Global Credit,Global Duration,0.036341422882736965,114,abrdn Global Corporate Bond A
CFS Index Global Bond,FSF6554AU,1.0212873770905673,6.3050276610076725,3.863679126217594,-4.54498625774679,0.9630151759518624,2.8302616057797527,Global Duration,Global Credit,0.028876999051356045,75,CFS Index Global Bond
AIM Global Impact Bond,FSF862AU,-1.2587424089507715,6.61734149627611,3.3396403071161314,-1.6451084397769082,0.9003056216478482,2.097989104242374,Global Duration,Global Credit,0.01920699703538183,75,AIM Global Impact Bond
