,,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,,
PVA0022AU,Prime Value Equity Income B,0.0006,0.9324,0.1732,0.2149,0.0212,0.0398,0.8967,50.1746,7.5442,7.6296,1.296,0.8892
PVA0011AU,Prime Value Growth B,0.0012,0.9108,-0.1228,0.1368,0.0646,-0.0682,1.4522,42.9603,-4.687,4.2567,3.4646,-1.3368
PER0259AU,Perpetual Smaller Companies No. 2,0.0048,0.8533,0.1032,0.6625,-0.0103,-0.1022,4.1346,28.2541,2.7345,14.0737,-0.3874,-1.4064
GCM0001AU,Ganes Focused Value,0.0034,0.7349,0.0942,0.5195,0.0684,0.1001,2.2294,17.9348,1.8601,8.3665,1.8974,1.0152
PAT0002AU,Ironbark Renaissance Australian Sm Comp,0.004,0.8708,-0.0684,0.5801,0.0779,-0.0786,2.7532,22.942,-1.4429,9.7628,2.3208,-0.857
QIN0002AU,DDH Australian Shares,0.0007,0.9829,-0.0234,-0.0142,-0.007,-0.0142,1.9111,104.642,-2.018,-0.9952,-0.8455,-0.6259
IOF0078AU,Perennial Value Shares for Income Trust,0.0009,0.9129,0.2395,0.0618,0.0016,0.0224,1.2269,47.7554,10.032,2.0746,0.0965,0.4879
DFA0003AU,Dimensional Australian Core Equity Trust,0.002,0.9849,0.102,0.212,-0.0158,-0.062,5.5452,105.4925,8.7316,14.5685,-1.9194,-2.7717
RFA0061AU,Pendal MicroCap Opportunities,0.0101,0.9126,-0.0208,0.7345,0.0783,-0.1577,5.7056,19.8112,-0.3594,10.2149,1.9147,-1.4201
MAQ0443AU,Macquarie Australian Shares,0.0048,0.9997,-0.1387,0.0315,-0.0409,-0.0378,5.9509,47.0218,-5.2236,0.95,-2.1789,-0.7382
AUS0030AU,Platypus Australian Equities - Wholesale,0.0026,1.0445,-0.1927,0.1962,0.0202,0.2548,2.3482,36.0417,-5.2849,4.3368,0.7843,3.6501
MAQ0459AU,Macquarie Yield Enhanced Aus Eq Fd,0.0012,0.9909,-0.0312,-0.0075,0.004,-0.0079,4.2299,129.5918,-3.2645,-0.6277,0.5948,-0.4331
ETL0062AU,ICE Fund,0.0044,0.8339,0.0742,0.5116,0.0729,-0.0924,2.8008,20.5292,1.4555,8.0743,2.0261,-0.9423
HOW0035AU,Greencape High Conviction,0.0039,0.9426,-0.0429,-0.0224,-0.0282,-0.0311,5.918,54.4821,-1.9798,-0.8261,-1.8503,-0.7512
HOW0034AU,Greencape Broadcap,0.0038,0.9381,-0.039,0.0593,-0.0033,-0.0119,6.2459,60.0206,-1.9932,2.4236,-0.2377,-0.3174
ETL0068AU,EQT Flagship Common No 2,0.0023,0.9495,-0.0008,-0.1131,-0.02,-0.0241,3.4047,53.108,-0.0351,-4.1726,-1.2749,-0.559
ETL5146AU,EQT Flagship Fund - Wholesale Class,0.0019,0.957,-0.0121,-0.1502,-0.0278,-0.0121,3.4662,68.0476,-0.6862,-6.8267,-2.2426,-0.3593
IML0006AU,Investors Mutual Small Cap,0.0054,0.709,0.0886,0.455,-0.025,-0.1247,3.8488,19.6634,1.9637,8.0488,-0.7855,-1.4369
ADV0062AU,Mercer Indexed Australian Shares,0.0012,0.9933,-0.0212,0.0089,0.0283,-0.0813,2.8462,92.2234,-1.562,0.5251,2.9591,-3.1319
AAP0002AU,Ausbil Australian Geared Equity,0.0027,2.1528,-0.0782,-0.1017,0.0756,-0.2242,2.0421,63.2209,-1.8219,-1.8896,2.5024,-2.7316
PER0255AU,Perpetual Select Investments Aus Share,-0.0005,0.8427,-0.0062,0.0502,0.0108,-0.0997,-0.4772,29.5089,-0.1677,1.1375,0.401,-1.3646
ETL0069AU,Tribeca Alpha Plus Class A,0.0042,0.9668,-0.1285,0.053,0.0077,-0.1139,3.8413,33.9109,-3.5969,1.189,0.3047,-1.6691
WHT0008AU,Spheria Australian Smaller Companies,0.0079,0.8907,-0.1495,0.5188,-0.0104,-0.431,3.4957,15.008,-2.0158,5.5803,-0.1971,-3.0019
ETL0060AU,Allan Gray Australia Equity A,0.0056,0.8623,0.2291,0.3617,-0.1137,-0.3779,4.0345,23.6116,5.0065,6.337,-3.521,-4.3091
ETL0148AU,Armytage Australian Equity Income,0.0009,0.9181,0.072,-0.0977,-0.0052,0.0794,1.1844,47.4976,2.96,-3.1805,-0.3023,1.7011
IOF0092AU,MLC MultiActive Australian Shares,0.0017,0.9148,-0.013,0.1085,-0.0103,-0.0085,3.1696,66.4708,-0.7389,4.9452,-0.8626,-0.2631
WFS0409AU,BT WE Fidelity Australian Equities,0.001,0.96,-0.0068,0.0031,0.0285,0.0313,1.6542,58.3022,-0.3123,0.1167,1.96,0.7795
FSF0961AU,First Sentier Equity Income,0.0011,0.7744,-0.0406,-0.1085,0.0022,0.0091,2.1703,56.5623,-2.3532,-5.0013,0.1832,0.2829
BTA0313AU,Pendal MidCap,0.0037,0.9321,-0.0436,0.4363,0.038,0.1155,4.0588,39.7034,-1.403,11.585,1.835,2.0187
PER0439AU,Perpetual Pure Value Share,0.0075,0.6433,0.217,0.2918,-0.0414,-0.049,5.0334,16.6186,4.3439,4.7274,-1.2072,-0.52
SCH0035AU,Schroder Equity Opportunities Fund - WC,0.0035,0.8304,0.1864,0.1809,-0.0743,-0.1226,3.6553,33.5945,5.9118,4.5847,-3.3936,-2.0586
DFA0008AU,Strategic Australian Equity,0.0016,0.9949,0.1134,0.1179,-0.0408,-0.1301,3.5126,77.821,6.4409,5.4618,-3.7775,-4.2922
PER0495AU,Perpetual WFIA-Perpetual Share Plus L/S,0.0033,0.788,0.1295,0.0759,0.013,-0.1958,3.1238,27.1389,3.2297,1.5539,0.5314,-2.8565
PER0470AU,Perpetual WFIA-Fidelity Australian Eq,0.0003,0.9745,-0.0075,0.0162,0.0432,0.048,0.6225,64.2016,-0.3574,0.6363,3.3803,1.3381
PER0482AU,Perpetual WFIA-Investor Mutual Aus Sha,0.0008,0.7717,-0.0209,-0.0596,0.0115,-0.0875,0.992,37.223,-0.7299,-1.7112,0.6588,-1.7867
PER0488AU,Perpetual WFIA-Perpetual Concntr Eq,0.0017,0.8926,0.0854,-0.0047,-0.0258,-0.1192,1.9929,38.7288,2.684,-0.1218,-1.329,-2.1907
PER0491AU,Perpetual WFIA-Perpetual ESG AU Share,0.0034,0.8821,0.1886,0.2502,-0.0074,0.0241,2.6819,25.6747,3.9752,4.3305,-0.2565,0.2976
PER0492AU,Perpetual WFIA-Perpetual Geared Aus,0.0019,2.0752,0.1239,0.0425,-0.0281,-0.2002,0.992,40.1189,1.7355,0.4891,-0.6464,-1.6397
PER0450AU,Perpetual WFIA-Ausbil Aust Actv Eq,0.0005,1.0441,-0.021,-0.0366,0.0349,-0.0559,0.8764,61.3461,-0.8955,-1.2789,2.4335,-1.3915
VAS,Vanguard Australian Shares ETF,0.0009,1.0,-0.0003,-0.0049,-0.0019,0.0001,6.6299,286.6695,-0.0606,-0.7963,-0.587,0.0126
RDV,Russell Inv High Dividend Aus Shrs ETF,-0.0003,1.023,0.1683,-0.0684,0.0179,-0.1274,-0.5097,58.1214,6.762,-2.2497,1.1208,-3.0135
SYI,SPDR® MSCI Australia Sel Hi Div Yld ETF,-0.0009,0.9697,0.3122,-0.0142,-0.0349,0.2526,-0.9423,36.6672,8.2315,-0.3038,-1.4514,3.9406
IOZ,iShares Core S&P/ASX 200 ETF,0.0006,1.0036,-0.0002,-0.0361,-0.0048,0.0174,3.7968,244.3659,-0.0408,-4.9727,-1.2741,1.6905
ILC,iShares S&P/ASX 20 ETF,-0.0002,1.0139,0.05,-0.2847,-0.0219,0.074,-0.4846,104.7048,3.5776,-16.6365,-2.454,3.0583
IHD,iShares S&P/ASX Div Opps ESG Scrnd ETF,-0.0021,0.9634,0.1405,0.0547,-0.0651,0.3689,-1.6489,28.7292,2.9027,0.9231,-2.1027,4.4019
ISO,iShares S&P/ASX Small Ordinaries ETF,-0.0,0.9745,-0.0079,0.7294,-0.0743,-0.0527,-0.0533,44.5389,-0.2516,18.8622,-3.6782,-0.9638
QFN,BetaShares Australian Fincls Sect ETF,0.0,1.1401,0.262,-0.2294,0.118,-0.3672,0.0182,28.1844,4.4882,-3.2087,3.1602,-3.6319
QRE,BetaShares Australian Res Sect ETF,0.002,0.8886,0.1927,0.1854,-0.3489,0.1978,0.6062,10.1004,1.5184,1.1922,-4.2968,0.8995
SSO,SPDR® S&P/ASX Small Ordinaries ETF,0.0003,0.9654,-0.016,0.72,-0.073,-0.0551,0.3205,43.9155,-0.504,18.5019,-3.5715,-1.0019
OZR,SPDR® S&P/ASX 200 Resources ETF,0.002,0.8861,0.2027,0.1765,-0.3629,0.1972,0.6032,10.0865,1.5996,1.1348,-4.4451,0.8976
OZF,SPDR® S&P/ASX 200 Fincls EX A-REIT ETF,-0.0002,1.1455,0.256,-0.2287,0.1191,-0.3653,-0.1096,27.9604,4.3321,-3.1534,3.1279,-3.5658
VHY,Vanguard Australian Shares High Yld ETF,0.0006,0.9593,0.2701,-0.035,-0.0112,0.0747,0.7677,50.0062,9.7754,-1.0272,-0.6291,1.5583
VLC,Vanguard MSCI Australian Large Coms ETF,0.0,1.0093,0.0497,-0.2435,-0.0252,0.0675,0.0899,121.8173,4.1611,-16.5539,-3.2764,3.2602
VSO,Vanguard MSCI Australian Small Coms ETF,0.0009,1.0069,0.0572,0.7497,-0.0345,0.046,2.6611,107.8642,4.2555,45.2475,-3.98,1.974
YMAX,BetaShares Aus Top 20 Eq Yld Mxmsr ETF,-0.0013,0.8562,0.0502,-0.203,-0.0157,0.0103,-2.113,53.9102,2.1881,-7.2208,-1.0874,0.2605
QOZ,BetaShares FTSE RAFI Australia 200 ETF,0.0013,0.9713,0.1217,-0.058,-0.0019,-0.1682,2.8366,77.6633,6.5584,-2.6389,-0.1507,-5.294
MVB,VanEck Australian Banks ETF,0.0004,1.1829,0.2152,-0.2224,0.2094,-0.6678,0.2234,21.7187,2.6695,-2.3211,3.7075,-4.8361
MVE,VanEck S&P/ASX MidCap ETF,0.0016,0.9422,-0.1415,0.6301,-0.3378,-0.0665,0.5938,12.633,-1.2818,4.8022,-4.3668,-0.3516
MVR,VanEck Australian Resources ETF,0.0041,0.8941,0.3017,0.3563,-0.2577,0.2954,1.4169,11.4923,2.6202,2.6034,-3.1937,1.4974
MVW,VanEck Australian Equal Wt ETF,0.0021,0.9753,-0.046,0.2581,-0.0509,-0.0512,3.1468,53.6221,-1.7144,8.115,-2.592,-1.1081
GEAR,BetaShares Geared Australian Equity ETF,-0.0008,2.2994,-0.0567,-0.0902,-0.0126,-0.0243,-1.0889,121.4776,-2.0276,-2.7121,-0.6155,-0.5038
HVST,BetaShares Australian Div Harvester ETF,-0.0034,0.6689,-0.0271,-0.1426,-0.0165,0.1395,-2.4038,17.2949,-0.4863,-2.1486,-0.399,1.4273
RARI,Russell Inv Australian Rspnb Inv ETF,-0.0004,1.0449,-0.0979,0.0082,0.0068,-0.2327,-0.5402,46.5339,-2.9954,0.2156,0.2667,-4.1214
MVS,VanEck Small Coms Masters ETF,-0.0016,1.005,-0.0306,0.6341,-0.0404,0.064,-1.1977,28.4011,-0.5942,10.5169,-1.0067,0.7196
AUST,BetaShares Managed Risk AUS Shr ETF,-0.0016,0.6676,-0.037,-0.0968,0.0062,0.0968,-2.1739,33.5847,-1.317,-2.8284,0.28,2.0172
GRNV,VanEck MSCI AUS Sust Eq ETF,-0.0022,1.0323,-0.1166,0.072,-0.0514,0.1451,-1.6161,27.8826,-2.295,1.1504,-1.2208,1.6674
EX20,BetaShares Aus Ex-20 Port Divrs ETF,0.0006,0.9785,-0.1273,0.3286,-0.0361,-0.1095,0.9037,55.0875,-5.2944,11.0645,-1.7992,-2.6493
MVOL,iShares Edge MSCI Australia Mini Vol ETF,-0.0009,0.9269,-0.1129,-0.0157,0.0058,0.0874,-0.857,32.0347,-2.8814,-0.324,0.1777,1.298
AUMF,iShares Edge MSCI Australia Mltfctr ETF,-0.0009,0.9754,0.1372,0.2341,0.0238,0.3524,-1.0376,39.8581,4.1399,5.7216,0.8603,6.1865
SWTZ,Switzer Dividend Growth ETF,-0.0011,0.8984,-0.0445,0.0014,-0.0095,-0.1989,-0.9818,30.8397,-1.1197,0.0283,-0.2912,-2.8937
SMLL,BetaShares Australian Small Coms Sel ETF,-0.0007,0.9879,0.0783,0.6157,-0.0227,0.1511,-0.5218,27.2819,1.5894,10.0359,-0.5545,1.7847
FAIR,BetaShares Australian Sustnby Ldrs ETF,0.0002,0.9014,-0.3757,0.0874,0.0035,-0.0749,0.14,20.8259,-6.2886,1.1772,0.0691,-0.7162
EINC,BetaShares Martin Currie Equity Inc ETF,-0.0011,0.8649,-0.0071,0.0418,0.0146,-0.2763,-0.8409,26.4006,-0.1569,0.7458,0.3793,-3.4961
RINC,BetaShares Martin Currie Real Income ETF,0.0001,0.889,-0.3202,0.0042,-0.0169,-0.5674,0.0544,12.8952,-3.3659,0.0355,-0.2088,-3.412
EIGA,Perennial Income Generator Fund,-0.0016,0.9175,0.2059,0.0018,-0.0364,0.0246,-1.5452,33.6995,5.4632,0.0379,-1.167,0.3803
INIF,Intelligent Investor AUS Eq Inc ETF,0.0012,0.8277,0.1735,0.2558,-0.0644,-0.1349,0.5531,14.9387,2.2589,2.6856,-1.0215,-1.0349
A200,BetaShares Australia 200 ETF,0.0004,1.0025,-0.0127,-0.0429,-0.0071,0.0034,1.7008,166.5409,-1.5236,-4.1881,-1.0221,0.2379
IMPQ,Perennial Better Future Fund,0.0008,0.9375,-0.1554,0.4886,-0.1043,-0.2237,0.3077,14.5764,-1.7878,4.4444,-1.4436,-1.5827
INES,Intelligent Investor Ethical Share ETF,0.0056,0.6924,-0.2306,0.4469,-0.1013,-0.0302,2.1124,10.185,-2.511,3.8466,-1.3269,-0.2022
ATEC,BetaShares S&P/ASX Australian Tech ETF,0.0081,1.1891,-0.4976,1.0054,0.0654,-0.1221,1.3217,6.5893,-2.4007,3.8895,0.3851,-0.3683
E200,SPDR® S&P/ASX 200 ESG ETF,0.0005,0.9543,-0.022,-0.1297,-0.0408,0.0586,0.8028,49.376,-0.8745,-3.3669,-1.9474,1.5523
DVDY,VanEck Mrnngstr Aust Mt Inc ETF,0.0007,0.8714,-0.4993,-0.2363,-0.0176,-0.224,0.2262,10.269,-4.5703,-1.351,-0.1923,-1.3873
IIGF,Intelligent Investor Aust Eq Gr ETF,0.0048,0.8161,0.0072,0.3693,0.1042,-0.359,1.4194,8.4168,0.0572,1.8474,0.9976,-1.9415
VETH,Vanguard Ethically Cnscs Aust Shrs ETF,0.0009,1.0806,-0.1621,0.0958,-0.0013,-0.0764,0.9223,40.6628,-4.7298,1.7488,-0.0453,-1.5079
AMVE,AB Managed Volatility Equities ETF MVE,0.0007,0.6949,-0.1516,0.0186,0.1257,0.1586,0.6534,22.6628,-3.3538,0.3477,3.7955,2.0381
AASF,Airlie Australian Share ETF,0.0028,0.9555,-0.0284,0.1395,-0.0248,0.0821,2.2367,29.8422,-0.6405,2.5593,-0.6747,1.0819
IESG,iShares Core MSCI Australia ESG ETF,0.0021,1.086,-0.2247,0.0961,-0.0338,0.1883,1.6431,29.5042,-4.3627,1.2156,-0.749,2.507
GIVE,Perpetual ESG Australia ShareETF E,0.0055,0.7151,-0.0373,0.5706,-0.0143,0.236,2.169,11.0603,-0.3953,4.1454,-0.1736,1.3163
AQLT,BetaShares Australian Quality ETF,0.0054,1.1223,-0.1437,0.1263,-0.0364,0.1411,2.7066,19.2028,-1.6557,1.0814,-0.5409,0.8552
AEAE,Australian Ethical High Conviction ETF,-0.0018,0.7309,-0.1058,-0.0007,-0.0509,-0.1332,-0.3966,6.786,-0.6969,-0.003,-0.3757,-0.4586
AYLD,Global X S&P/ASX 200 Covered Call ETF,,,,,,,,,,,,
GMVW,VanEck Geared Australian Equal Weight H,,,,,,,,,,,,
OZXX,Global X Australia ex Fincls & Res ETF,,,,,,,,,,,,
IMLC,IML Concntr AUS Shr Fd (Quoted Mngd Fd),,,,,,,,,,,,
DACE,Dimensional AustralianCoreEquityTrustETF,0.002,0.9848,0.102,0.2119,-0.016,-0.0619,5.5475,105.5757,8.7358,14.5762,-1.9477,-2.772
G200,BetasharesWthBdrAUS200Grd30-40%LVRCpxETF,,,,,,,,,,,,
SFY,SPDR® S&P/ASX 50 ETF,0.0017,0.9872,0.0052,-0.1658,-0.0094,-0.0091,8.5015,184.8057,0.7931,-20.4849,-2.0014,-0.7058
STW,SPDR® S&P/ASX 200 ETF,0.0016,0.9903,-0.003,-0.0205,0.0006,-0.0041,11.1752,256.7878,-0.6198,-3.5136,0.1704,-0.4397
EllerstonSMID,Ellerston Australian Small-Mid Cap Opportunities,0.0205,0.621,-0.1813,0.7945,0.2035,-0.2504,6.4474,7.7983,-1.6607,5.8046,2.2144,-1.4088
aussie pws,aussie pws,0.0034,0.554,0.0396,0.2045,0.0386,-0.0943,2.7592,17.2487,0.893,3.7132,1.0356,-1.2149
aussie pws without allan,aussie pws without allan,0.0002,0.6368,0.0667,0.2435,0.0613,-0.0424,0.1194,15.8045,1.1986,3.5245,1.3107,-0.4361
pws_with_invesco_instead_of_milford,pws_with_invesco_instead_of_milford,0.0022,0.8282,0.0405,0.2936,0.0307,-0.0492,2.0657,30.4215,1.0853,6.286,0.9965,-0.8036
