,,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,,
OMF6696AU,Lakehouse Small Companies Fund,0.0043,1.0759,-0.1099,1.1893,-0.1016,0.3442,1.088,9.8566,-0.7453,6.4436,-0.8245,1.3557
PIM5346AU,Eley Griffiths Group Emerging Companies,0.0063,0.9467,0.0627,0.806,0.1321,-0.0873,2.4673,13.5691,0.6602,6.8194,1.6767,-0.5351
ECL0984AU,Ellerston Australian MicroCap Fund,0.0071,0.8951,-0.0983,0.7747,-0.087,-0.3176,2.298,10.7406,-0.8668,5.4868,-0.9241,-1.6303
OPS7755AU,Chester High Conviction,0.005,0.7857,0.0595,0.3495,-0.0059,-0.0434,3.1328,18.3252,1.0203,4.8106,-0.122,-0.4334
HOW3590AU,Lennox Australian Small Companies,0.0039,0.911,-0.0179,0.846,-0.0136,-0.2714,1.4747,12.6313,-0.1829,6.9236,-0.1673,-1.6099
WPC6780AU,Perennial Concentrated Australian Shares,0.0003,0.9591,0.1519,-0.0141,-0.0285,-0.1732,0.2014,25.3693,2.953,-0.2197,-0.6729,-1.9723
SSB4946AU,Martin Currie Sustainable Income Fund,-0.0009,0.897,0.0289,0.1162,0.0321,-0.3112,-0.6997,25.718,0.6041,1.9586,0.8098,-3.7271
WHT3859AU,Solaris Australian Equity Long Short Fd,0.0019,1.0284,-0.0754,0.028,0.0325,-0.2242,1.2957,25.1084,-1.3542,0.403,0.7018,-2.3415
FHT1810AU,EGP Concentrated Value Fund,-0.0027,0.7394,-0.1698,0.1378,-0.0872,-0.4293,-0.6787,7.0468,-1.1806,0.7672,-0.7197,-1.7041
QVG9204AU,QVG Opportunities Fund,0.005,1.0971,-0.0079,1.0404,0.3219,-0.2365,1.4896,12.4608,-0.065,6.8989,3.1693,-1.1192
OPS1827AU,Vertium Equity Income Fund,0.0004,0.6063,-0.0204,0.0173,-0.0794,-0.0372,0.3203,19.8548,-0.4922,0.3349,-2.3022,-0.5209
ACM0005AU,AB Concentrated Australian Equities Fund,0.0015,0.8685,-0.0174,-0.0252,-0.0543,-0.2536,0.8735,19.2302,-0.2816,-0.3282,-1.0591,-2.3493
ETL8155AU,Milford Australian Abs Gr W,0.0039,0.4972,0.0267,0.1053,-0.0059,0.0263,2.7615,13.4175,0.5249,1.6586,-0.1379,0.2962
