,GREIT,GREIT_HEDGED,INFRA,INFRA_HEDGED,AREIT,RFRATE
31/08/2015,-0.029368796,-0.055270134,-0.029303536,-0.053244146,-0.040895145,0.001809436
30/09/2015,0.029432721,0.024288384,-0.012473738,-0.02358431,-0.002725254,0.001761852
30/10/2015,0.033786525,0.057462498,0.029435401,0.045742907,0.049604128,0.001891078
30/11/2015,-0.031599966,-0.005619848,-0.054390883,-0.026978535,-0.029325738,0.001667044
31/12/2015,0.001894951,0.008123141,-0.033332717,-0.029580873,0.039936534,0.001915502
29/01/2016,-0.012421374,-0.029685053,0.021812132,0.002389218,0.010611241,0.002010061
29/02/2016,-0.006136083,-0.001596961,-0.000305152,0.00346864,0.028578684,0.001778832
31/03/2016,0.020120459,0.079387386,0.011105789,0.054549174,0.023929975,0.001980637
29/04/2016,0.00838139,-0.013871395,0.032277951,0.018485439,0.028047019,0.001989492
31/05/2016,0.053109169,0.019320664,0.045766507,0.013370638,0.026353366,0.001935106
30/06/2016,0.003880444,0.040873168,0.001435942,0.028182664,0.035516705,0.001648413
29/07/2016,0.032233152,0.04646622,0.008895817,0.025439584,0.05417945,0.001730152
31/08/2016,-0.012912533,-0.024705382,-0.009703393,-0.01423448,-0.027840429,0.001689272
30/09/2016,-0.030028269,-0.014819073,-0.000860069,0.014630274,-0.043249756,0.001415932
31/10/2016,-0.048824553,-0.052400429,-0.020954683,-0.014706359,-0.078534404,0.001461204
30/11/2016,0.00084681,-0.018310584,-0.012623912,-0.029847029,0.008439133,0.001445476
30/12/2016,0.056532189,0.042901488,0.053908789,0.033838419,0.068167241,0.001451317
31/01/2017,-0.043140963,-0.006352252,-0.033623381,-0.000627773,-0.048409075,0.001569961
28/02/2017,0.017711782,0.032225237,0.015294203,0.034378091,0.042083123,0.001344434
31/03/2017,-0.00824075,-0.01883263,0.038569482,0.034991672,0.006265676,0.001501519
28/04/2017,0.034675293,0.00533828,0.039356812,0.01594537,0.026094526,0.001485058
31/05/2017,0.013598842,0.003029123,0.048597571,0.032280241,-0.010949435,0.001487434
30/06/2017,-0.02157472,0.009019045,-0.03217026,-0.011390183,-0.04778487,0.001433035
31/07/2017,-0.018750914,0.009419534,-0.005778898,0.016089012,-0.000646305,0.001457462
31/08/2017,0.006104212,-0.000521769,0.022841221,0.016941967,0.012817776,0.001420817
29/09/2017,0.007854555,-0.001656477,-0.007095281,-0.017434256,0.005088068,0.001416115
31/10/2017,0.020321206,-0.004630747,0.033347984,0.021287748,0.022467664,0.001468039
30/11/2017,0.039051621,0.026075053,0.031005082,0.010909765,0.052678296,0.001332325
29/12/2017,-0.014280311,0.009589965,-0.040291633,-0.016144726,0.002849392,0.001433064
31/01/2018,-0.034113609,-0.025722046,-0.01855843,-0.007043825,-0.032814976,0.001558502
28/02/2018,-0.030746124,-0.063948309,-0.035706389,-0.053182824,-0.032274683,0.001337854
30/03/2018,0.040161483,0.032166823,0.014830026,8.71E-06,0.000694487,0.001382872
30/04/2018,0.038080199,0.022031589,0.043661512,0.03332934,0.044669584,0.001640619
31/05/2018,0.013223351,0.028044441,-0.020755856,-0.006424308,0.03078391,0.001726683
29/06/2018,0.03968297,0.026781444,0.043755964,0.02398812,0.021335645,0.001513912
31/07/2018,0.003181119,0.010011572,0.011764427,0.016003464,0.009557661,0.001902861
31/08/2018,0.044026108,0.017946792,0.008392073,-0.020465589,0.026843583,0.001674212
28/09/2018,-0.023520833,-0.022039146,-0.015006377,-0.010256122,-0.017652994,0.001578123
31/10/2018,-0.016557406,-0.026384909,-0.017205715,-0.029141753,-0.031175555,0.00168082
30/11/2018,0.007256326,0.033049663,-0.012320912,0.015647306,-0.004411034,0.001545546
