Group/Investment,Combo,Ticker,APIR Code,Hedged,Category,Grouped,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022,31/01/2023,28/02/2023,31/03/2023,30/04/2023,31/05/2023,30/06/2023,31/07/2023,31/08/2023,30/09/2023,31/10/2023,30/11/2023,31/12/2023,31/01/2024,29/02/2024,31/03/2024,30/04/2024,31/05/2024,30/06/2024,31/07/2024,31/08/2024,30/09/2024,31/10/2024,30/11/2024,31/12/2024
Resolution Capital Global Property Secs,WHT0015AU,16747,WHT0015AU,Hedged,G-REITS,G-REITS-Hedged,6.5157,-0.10821,1.52934,-2.49168,0.1931,-4.2959,5.48895,-5.46613,2.05713,5.32232,-1.90988,0.81183,-4.12466,-1.16771,8.15311,-0.88801,1.6888,2.8277,4.7451,-1.74716,-1.85444,-3.0154,-0.70723,3.46728,-0.91145,3.18044,-1.30557,1.9165,1.5259,0.56122,0.64696,0.9579,-0.24345,0.9261,1.9778,1.71872,-0.63736,-5.91831,1.92963,3.20565,1.46133,1.4222,1.00216,1.20179,-1.67222,-3.51839,3.49342,-5.96729,10.72975,0.85936,3.64908,-0.69732,0.29116,0.58097,0.99591,2.83288,1.68505,2.24584,-0.46383,-0.72546,2.9306,-8.0652,-18.08658,6.11384,-0.08609,2.42433,2.97191,0.81827,-2.61105,-2.7392,7.28662,1.82021,-0.66626,2.01733,4.04586,5.36091,1.42183,2.08094,4.36234,2.1416,-5.2999,5.60973,-0.84217,6.82528,-5.43862,-2.7727,5.73457,-2.8321,-5.96178,-8.20428,7.39443,-5.76588,-11.39565,2.8115,4.39459,-4.41818,7.9096,-3.84971,-3.20948,2.09909,-4.20338,2.93657,3.22044,-2.65504,-5.86635,-3.27242,9.10093,7.00869,-3.09852,0.50248,3.36342,-4.46998,3.5424,0.00638,4.69893,4.57388,2.73687,-2.51518,2.35674,-6.70073
Dimensional Global Real Estate Trust,DFA0005AU,15778,DFA0005AU,Unhedged,G-REITS,G-REITS-Unhedged,10.27611,-1.18593,1.55102,-5.00352,1.93381,-4.06562,8.30742,-2.74849,2.45531,4.23659,-3.35565,0.81117,-0.10951,0.48145,1.65038,1.1088,4.97189,1.76636,2.66881,-2.08077,-3.19445,-5.9203,-0.13508,6.13891,-4.3456,1.86838,-0.20471,2.78337,0.6311,-2.68365,-1.68807,0.67652,0.47377,1.62741,4.16284,-1.44296,-3.96095,-2.89307,3.79317,2.66711,1.67709,4.4762,0.40971,3.86371,-2.12122,-1.21858,0.35239,-1.23234,6.6112,2.57834,4.07901,0.19982,2.01912,1.18639,2.59667,4.98424,1.21094,0.10128,0.82983,-3.22175,5.99722,-4.01728,-18.5563,1.8408,1.33054,-1.82771,-0.42645,-0.91181,0.1185,-1.46181,6.0868,-1.42072,-0.14045,0.66123,6.08408,5.26357,1.3681,5.11071,5.41922,2.93271,-4.55516,1.82426,4.10236,5.54669,-5.14579,-5.16743,2.56617,1.01124,-5.4141,-4.4977,7.13374,-4.18264,-7.8428,4.11883,2.22147,-4.64333,5.39387,-0.93497,-2.22113,2.71868,-2.39131,0.49457,1.62617,0.74269,-6.66033,-2.17931,7.02671,6.25242,-1.06823,2.28778,3.16786,-6.54864,2.12057,0.56734,8.62901,1.56943,1.84999,0.45349,2.98382,-3.2244
Principal Global Property Securities,PGI0002AU,14848,PGI0002AU,Hedged,G-REITS,G-REITS-Hedged,5.65405,0.22676,1.21041,-2.43657,-0.05728,-4.36176,4.67438,-6.0821,1.69638,5.64958,-1.26772,0.99218,-5.34555,-1.15154,8.31578,-1.39588,1.22998,2.80525,4.60034,-1.80076,-1.53991,-4.6084,-1.71464,3.76149,-0.66511,3.70738,-1.41081,1.28547,1.28113,0.50904,1.12927,1.20862,-0.40239,1.32934,2.58521,1.15735,-0.49807,-4.9806,2.79205,2.97245,0.97051,1.84621,1.04904,1.42589,-1.39351,-3.41421,3.5349,-5.62631,10.51442,0.76979,3.66436,-0.44905,0.89059,0.84443,1.07269,2.07745,1.74759,2.81552,-0.42292,-0.96194,2.33208,-7.82399,-22.50199,5.6601,1.04355,1.8762,3.33469,1.7316,-2.2695,-3.36456,9.89896,2.33371,-1.12072,2.53788,4.2773,5.2195,1.1498,2.40338,4.29144,1.45776,-5.66017,5.33056,-1.46785,5.803,-5.689,-3.08311,4.29922,-3.76837,-5.83372,-7.42329,7.99736,-6.00979,-11.10822,1.14269,5.05504,-4.08562,8.24445,-3.34221,-3.52666,2.28474,-4.04858,2.50895,2.76117,-2.64543,-5.39195,-4,9.53947,7.55598,-3.65236,-0.16602,3.1735,-4.99664,3.88802,0.2515,5.21301,4.47607,2.09262,-3.4809,2.13622,-6.13927
UBS CBRE Global Property Securities Fund,HML0016AU,14291,HML0016AU,Hedged,G-REITS,G-REITS-Hedged,6.81887,-0.88171,1.40194,-3.5792,-0.04367,-4.79996,5.22116,-5.30375,2.56607,5.67041,-1.46736,0.83453,-4.06678,-0.69166,8.14049,-1.33657,1.20025,3.37185,4.40703,-2.79743,-1.51505,-5.96534,-2.00743,4.43975,-1.17269,2.98065,-1.84499,0.26553,0.40421,0.82331,0.67053,0.38317,-0.39534,0.15055,2.79467,1.63341,-2.40168,-5.71697,2.24183,1.94905,1.75475,2.74038,0.6284,1.74968,-2.09514,-3.34455,2.86848,-5.80711,9.90156,0.62112,3.93112,0.13754,0.71799,0.84924,1.75794,3.14105,2.03221,1.68752,-0.12983,0.02261,2.1077,-7.73658,-21.02327,5.26316,2.51804,1.87909,2.57668,1.48832,-2.21632,-3.29126,10.13964,3.35117,-0.89385,3.72582,4.4615,7.17566,1.36047,2.5084,4.94134,2.587,-5.49117,7.70486,-0.95285,6.95973,-6.82073,-3.23188,4.91241,-3.17856,-5.98588,-8.33333,8.42653,-5.7872,-12.2218,3.46276,4.20809,-4.05689,9.4248,-3.5264,-3.74154,0.98553,-3.20753,2.76048,2.50072,-2.83512,-6.38753,-4.52435,10.7741,9.86191,-3.82713,0.12529,2.98999,-5.74242,3.46676,-0.19758,5.40752,5.62414,2.55608,-4.34582,2.71994,-6.13943
Resolution Capital Global Prpt Secs II,IOF0081AU,14268,IOF0081AU,Hedged,G-REITS,G-REITS-Hedged,6.26012,0.05079,1.70558,-2.58535,0.3279,-4.28373,5.54883,-5.36143,2.17128,5.18162,-2.10559,0.82887,-4.22477,-1.18427,8.11435,-0.90512,1.67282,2.78602,4.69964,-1.77481,-1.8738,-2.83515,-0.5916,3.37613,-1.04095,3.12593,-1.28945,2.10567,1.69945,0.51123,0.63992,1.04394,-0.30055,1.09279,1.8358,1.84846,1.11494,-5.83749,1.79329,3.21084,1.23887,1.24184,0.97492,1.17286,-1.64972,-3.58147,3.47,-5.98928,10.82753,0.96825,3.56803,-0.62563,0.41132,0.47249,0.98347,2.99723,1.47538,2.30541,-0.38474,-0.86219,3.30181,-8.03724,-16.45014,5.79564,-0.28631,2.34063,3.26015,0.38325,-2.72702,-2.60723,5.95855,1.57566,-0.72237,1.55952,4.03535,5.32116,1.40615,2.07191,4.46945,2.26807,-5.31553,5.58918,-0.7296,7.02715,-5.43259,-2.85842,5.94749,-2.52927,-6.3019,-8.25289,7.17229,-5.776,-11.24051,2.63805,4.17186,-4.54797,7.72137,-3.93021,-3.07995,2.09546,-4.32216,2.94527,3.17946,-2.66906,-6.59884,-2.30583,9.07049,6.5584,-3.02302,0.64824,3.23925,-4.26063,3.66699,-0.16934,4.65551,4.53774,2.69462,-2.45737,2.27935,-6.71917
Vanguard International Prpty Secs IdxHdg,VAN0019AU,13427,VAN0019AU,Hedged,G-REITS,G-REITS-Hedged,7.35897,-1.36265,1.00471,-3.54367,-0.73048,-4.29607,5.54048,-5.67817,2.43071,5.64427,-0.52482,0.79139,-2.93132,-0.17256,7.9516,-1.3711,1.94825,4.12063,4.62702,-2.46277,-1.49701,-5.24823,-1.81779,4.21477,-0.61657,3.28076,-1.90389,0.51658,0.32014,0.95734,1.07772,-0.20111,-0.15113,-0.47875,2.65923,0.90978,-2.56548,-6.19711,3.08119,2.237,2.88104,2.76165,0.8826,2.01189,-2.29472,-2.67868,3.40464,-6.88785,10.10289,0.24612,3.59686,-0.59249,0.1192,0.46434,1.31548,2.80735,2.83309,1.60434,-0.87117,-0.49434,1.41312,-8.11017,-23.08968,5.68392,0.56843,2.14493,2.11407,1.45894,-2.35552,-3.45889,11.13596,2.95104,-0.41707,3.37435,3.94265,6.48809,1.41202,1.91598,4.67542,1.41988,-5.95556,6.13185,-1.03529,6.35546,-6.03913,-2.88158,5.00695,-4.66887,-4.90911,-8.5596,8.17769,-5.92574,-12.39867,3.17051,5.01397,-3.94847,8.55685,-4.05532,-3.76487,1.70157,-3.9468,3.05196,3.23606,-2.96669,-5.82636,-4.60632,9.42181,8.60218,-4.0305,-0.39728,2.83476,-5.60712,3.66593,0.84129,5.65825,5.48444,2.63158,-4.00964,3.03109,-6.80556
Vanguard International Property Secs Idx,VAN0018AU,13426,VAN0018AU,Unhedged,G-REITS,G-REITS-Unhedged,11.09764,-2.00797,2.42243,-5.90753,1.42053,-4.33854,9.39615,-2.09159,3.11827,4.01431,-3.13988,0.41667,-0.68317,-0.69836,1.67768,0.0052,6.19224,1.42416,2.48292,-1.70831,-3.16738,-5.85805,0.07183,5.90399,-4.58185,1.58474,-0.99595,2.74289,1.17402,-1.83944,-2.28575,0.50218,0.8485,1.31784,4.05129,-1.84854,-4.86965,-3.09059,4.99302,3.15502,1.91664,4.81103,0.18679,4.61013,-2.49051,-1.15216,0.25021,-2.65299,7.0515,2.36873,3.46648,0.14177,1.67415,-0.19521,2.54158,5.01966,2.54919,0.22326,0.60847,-3.55121,6.13116,-4.71424,-18.29043,-0.39234,-0.71833,-1.21268,-0.52893,-1.22564,0.18029,-1.30588,7.19991,-0.8257,-0.20542,2.42853,4.67187,5.80386,1.91748,3.76282,6.93952,1.96253,-5.28116,2.38175,4.17876,4.10665,-3.18609,-5.76195,1.28271,-0.37142,-5.59507,-5.20077,6.67638,-4.92235,-6.82043,3.83303,1.56105,-4.20399,5.28746,-0.30528,-2.57222,3.07801,-2.36923,0.44122,2.39146,0.5559,-6.01966,-2.90304,5.89564,6.53468,-1.31009,0.88839,2.46964,-5.62258,1.73142,0.20756,8.39515,2.55843,0.81591,0.7819,3.30855,-2.23102
Mercer Global Listed Property Fund,MIN0023AU,12993,MIN0023AU,Hedged,G-REITS,G-REITS-Hedged,6.12398,-0.04254,1.21986,-2.3963,-0.1005,-4.49525,4.83461,-5.97694,1.32301,5.6051,-1.49276,0.68881,-4.74308,-0.62241,7.67625,-0.8352,1.24831,3.05166,4.83846,-1.65143,-1.34933,-4.72644,-1.12648,3.58156,-0.54776,3.18417,-1.23436,1.30046,0.48349,0.37124,1.01672,0.54589,-0.43319,1.13335,2.18009,1.29895,-0.89203,-5.68161,2.96223,3.18594,1.02919,2.06297,0.71901,0.81081,-2.19839,-2.8326,3.53583,-5.90372,10.23166,0.68301,3.77457,-0.83808,0.16903,1.01249,0.80187,2.05502,1.80253,2.39273,-0.79452,-0.62814,1.26422,-8.06804,-22.03361,5.1818,0.72449,1.62351,2.24469,1.89873,-2.48447,-3.46338,10.86598,2.4735,-0.58076,4.1621,3.75044,5.57432,1.36,1.84519,3.80228,1.13075,-5.44882,5.49634,-1.38933,6.19597,-5.63847,-2.8439,4.83473,-3.3098,-5.71058,-7.7166,7.46385,-5.69091,-11.06613,1.79926,4.53578,-4.176,7.86565,-3.50808,-3.26797,2.17483,-3.90577,2.62366,2.78709,-2.58919,-5.58811,-3.48038,9.20992,6.898,-3.52154,0.10196,3.46303,-4.68596,3.86284,0.11933,4.76758,4.19037,2.40218,-3.25218,2.07568,-6.38834
Pendal Global Property Securities,RFA0051AU,12549,RFA0051AU,Hedged,G-REITS,G-REITS-Hedged,7.02323,-1.59011,1.17979,-2.39966,-0.40689,-4.38978,4.54508,-5.88183,1.65839,5.55587,-1.12168,0.40839,-4.48301,-0.06624,7.94432,-1.14035,1.31322,2.43208,4.55735,-2.26998,-0.85666,-4.23125,-1.43242,3.57648,-0.54665,2.9956,-1.64547,0.94954,0.55541,1.23887,1.04733,0.32268,0.09747,0.15579,1.85689,1.25036,-1.17491,-6.30872,2.3946,2.9982,1.92121,2.32177,0.86014,1.45088,-1.76856,-3.26739,3.94072,-6.27832,9.85965,0.3328,3.55232,-0.74396,-0.21861,0.50978,0.94421,1.77509,2.65274,1.70923,-0.76023,-0.26207,1.20263,-7.84901,-22.42089,4.5118,0.45442,2.12546,2.36967,1.40336,-2.26851,-3.29927,9.42029,2.74558,-1.22197,4.18706,3.44468,6.00404,1.67777,2.42006,3.6302,1.61212,-5.17714,5.93785,-1.84064,6.25454,-5.65866,-2.71542,4.71406,-4.32413,-6.74839,-7.64032,7.79278,-5.44588,-10.77034,1.61368,5.46292,-3.41816,8.02931,-3.66575,-3.02622,2.39456,-3.75679,3.33908,2.80643,-2.81836,-5.63316,-3.7329,9.44342,8.15516,-3.53008,-0.43911,3.32255,-5.05122,3.20695,0.42108,5.74031,4.99111,2.68299,-4.12227,3.01627,-6.52369
Macquarie Global Listed Real Estate A,AMP0974AU,12353,AMP0974AU,Hedged,G-REITS,G-REITS-Hedged,5.59564,0.31445,2.12917,-2.8907,0.43036,-5.19565,5.71005,-5.48259,2.3006,4.9524,-0.40199,0.60883,-4.31374,-1.76837,7.62037,-2.05395,1.81075,1.98365,3.41102,-2.50228,-1.5378,-4.58242,-0.83805,4.31487,-1.65672,3.12631,-2.48379,0.93054,1.04114,1.03529,0.3914,0.66765,-0.01675,1.0997,2.59059,1.17574,-1.27898,-6.04205,2.52382,3.10035,1.16129,1.84671,0.85252,1.57107,-1.4819,-4.45237,3.10426,-6.07985,10.74428,1.21759,4.26048,-0.50598,0.03959,1.30431,0.91507,2.58954,1.96735,2.06627,-0.21881,-0.54824,2.85426,-7.45151,-20.4751,4.71552,1.35732,0.79009,3.59874,1.78059,-2.27173,-2.75157,8.62464,3.05745,-1.15765,3.44417,3.64339,6.41485,1.70993,1.91358,4.33331,1.88952,-5.52717,5.49648,-1.22184,6.7052,-6.26741,-3.40094,4.84614,-3.61465,-6.41151,-7.61483,8.28008,-5.57243,-12.14266,2.10239,5.62133,-4.35715,8.15328,-3.74105,-3.94518,1.8243,-3.67331,3.16906,2.91681,-2.25765,-5.74125,-4.02646,9.29013,6.13268,-2.99865,0.89493,2.71207,-5.65035,2.93461,-0.0064,4.89928,4.75063,2.95309,-2.75963,2.87043,-6.33952
Ironbark DWS Global (ex-Aus)PropertySecs,MGL0010AU,12113,MGL0010AU,Hedged,G-REITS,G-REITS-Hedged,7.47605,-0.63657,0.61538,-2.44328,-0.63208,-4.60166,4.50291,-6.0518,1.64906,5.91888,-0.92138,0.68841,-3.34653,-0.58327,7.14018,-1.72434,1.885,2.68792,4.41926,-2.48508,-1.03494,-4.16058,-1.83034,3.25087,-0.39356,3.27716,-2.02543,1.20593,1.12347,0.63988,0.8285,0.28831,-0.45334,0.26658,2.2045,1.59332,-0.53345,-6.28553,2.81561,2.93888,1.2112,1.51416,0.42216,1.69207,-1.53989,-2.80256,3.35853,-5.9137,10.08329,-0.05044,4.05733,-1.01843,0.26458,0.71003,0.96313,3.54596,2.33575,2.46431,-0.89634,-0.42088,1.8795,-8.07662,-20.10755,4.48317,1.74853,0.18225,2.53566,1.75535,-2.2567,-2.9193,10.27898,2.51104,-0.55696,4.95927,3.22111,5.66783,1.83241,2.33229,4.39279,1.54728,-5.60303,5.8502,-0.86332,6.97274,-6.23857,-3.42026,5.00505,-4.38196,-6.49296,-8.54825,7.71193,-6.25797,-12.28258,2.94672,4.8854,-3.46773,8.52019,-4.12826,-3.18093,2.22903,-3.65816,3.10361,2.55235,-2.32629,-5.25221,-3.67728,8.75214,7.52384,-3.42072,0.48436,2.83189,-6.12305,3.48486,1.36128,5.58815,5.51841,2.62383,-3.1394,3.0167,-7.2076
First Sentier Global Property Securities,FSF0454AU,11806,FSF0454AU,Hedged,G-REITS,G-REITS-Hedged,4.95614,0.85667,2.13901,-1.30318,0.63707,-3.98713,4.13294,-5.68311,1.42997,4.61149,-1.65115,-0.38563,-4.46871,-2.00475,7.19116,-0.16299,2.15388,1.01557,3.68143,-1.40528,-0.92315,-4.4796,-1.26487,3.76713,0.0213,2.7099,-1.75202,1.1607,0.26599,1.36281,0.75047,0.16431,-0.35542,0.40059,3.52536,1.28482,-0.34661,-6.13228,3.10683,2.81418,1.26909,1.12043,0.72504,0.69193,-0.92546,-5.25786,2.32023,-6.97673,10.38839,1.32011,3.32159,0.23272,-0.46976,1.30744,0.59436,3.12229,2.57044,3.6796,0.03954,-0.23438,3.05994,-6.7559,-17.79506,4.61011,1.54789,1.88894,3.1958,-0.13464,-2.66721,-2.6861,8.26216,2.62792,-0.76194,3.65125,3.36351,5.97197,1.54285,2.6491,4.44918,1.38504,-4.53655,4.89794,-2.32175,6.67777,-5.54724,-2.36611,5.22558,-3.16677,-5.5532,-7.61664,7.53067,-6.03835,-11.96151,1.53327,4.32081,-3.51999,8.10145,-3.6533,-4.57803,2.77798,-3.38394,2.43043,3.93013,-2.08683,-5.39265,-4.20321,7.84407,6.07422,-2.80523,-0.86658,3.38824,-5.33855,3.24795,0.50046,4.99028,4.16324,1.64614,-3.87381,2.23061,-5.89093
SGH LaSalle Global Listed Property Secs,ETL0005AU,11241,ETL0005AU,Hedged,G-REITS,G-REITS-Hedged,7.23408,-0.67313,1.10217,-2.40866,-0.20379,-4.4826,4.5418,-6.02845,0.81826,5.70571,-1.91186,0.62622,-5.25284,-0.7199,7.69295,-1.23055,0.58768,1.8696,5.02675,-1.73765,-1.18895,-3.89155,-0.67353,3.73402,-1.13152,3.53531,-1.75651,0.92478,-0.24435,0.59706,0.40179,-0.06926,0.18483,0.21524,2.69234,1.28473,-1.5899,-5.91877,2.35917,2.97115,2.02512,2.58936,1.42357,1.12287,-1.97167,-3.31833,4.13819,-6.37531,9.93659,0.29542,4.01851,-1.01133,-0.75603,0.98826,0.84555,0.43952,2.21489,1.85075,-0.78246,1.09496,1.68165,-8.20558,-22.59719,7.17995,0.75175,1.94827,1.06148,3.3126,-2.69805,-4.0508,13.41933,1.87592,-0.50204,4,4.21178,5.47871,1.22177,1.6178,3.79289,1.41844,-5.46403,4.08099,-1.92134,6.4112,-4.03403,-1.54997,4.61284,-3.08017,-3.78829,-6.43682,7.37423,-4.89212,-10.82828,2.51442,4.4438,-3.84031,8.55681,-3.1941,-3.56016,1.97738,-3.49445,3.91732,3.10892,-2.79933,-5.57252,-3.9465,9.93114,8.15702,-3.39125,-0.31306,4.32313,-3.93262,3.84692,0.12198,6.11093,4.69543,2.58009,-4.74904,1.96125,-6.41947
Quay Global Real Estate AUD Hedged,BFL3333AU,44554,BFL3333AU,Hedged,G-REITS,G-REITS-Hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98554,-4.60729,-4.40304,-8.10105,7.95053,-6.84537,-11.07015,2.9282,4.23487,-3.03527,10.1395,-3.8466,-5.92755,3.17646,-4.43579,3.45825,4.91164,-2.81223,-6.14102,-2.80022,10.12465,9.24223,-3.89249,-0.84378,3.63482,-5.06745,4.44829,-0.15379,4.70126,4.99771,2.04771,-3.92785,1.26653,-7.24081
iShares Global Listed Property Idx Hdg D,BLK0252AU,44292,BLK0252AU,Hedged,G-REITS,G-REITS-Hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00722,5.70827,1.39493,1.83265,3.89672,1.47873,-5.27989,5.50452,-1.40687,5.97044,-5.52344,-2.5037,4.70257,-4.03946,-4.68402,-7.74467,7.74614,-5.72002,-11.81736,3.16555,4.98049,-3.79359,8.0155,-3.70181,-3.8164,1.98334,-3.89631,2.9243,3.17023,-2.67861,-5.55815,-4.42388,9.09217,8.21885,-3.43963,-0.20616,3.63707,-5.25717,2.8449,0.69044,5.52831,5.02888,2.49142,-3.68285,2.62545,-6.35718
Quay Global Real Estate UnH-Daily Series,BFL0020AU,41112,BFL0020AU,Unhedged,G-REITS,G-REITS-Unhedged,,,,,,,,,,,,,,-2.42364,1.91933,-0.73515,7.85229,1.26046,0.60876,-2.27658,-2.75318,-4.95941,-0.86449,6.17903,-3.77622,3.07309,-0.13094,3.91326,1.86353,-1.96284,-1.37681,0.99746,1.169,1.86274,4.22453,-1.31197,-4.45526,-2.08687,4.7012,3.90572,1.71541,4.75431,-0.32924,4.35675,-2.10454,-0.76903,0.15852,-2.30959,6.92035,3.24471,3.34842,0.62092,1.70886,0.2668,1.60845,4.71017,0.87446,0.81546,1.08577,-3.24683,5.24381,-3.86343,-13.34619,-1.24069,-0.9877,-0.61253,-0.53897,0.11648,-0.36692,0.77248,6.54247,-0.50498,-0.34855,4.25695,2.5448,4.63613,2.73774,4.83967,6.98811,2.50811,-4.6417,2.13256,3.59936,3.72941,-3.46874,-4.88086,0.7138,-0.69537,-4.6795,-5.16352,6.78479,-6.38466,-6.44419,4.53465,0.78444,-3.7405,7.51062,-0.13683,-4.59009,4.93059,-2.87409,1.686,4.19459,0.45403,-6.56874,-1.27389,7.11311,7.10651,-0.84173,0.39179,3.57014,-4.97523,2.8712,-0.74952,7.41018,3.19967,0.75834,-0.91248,1.53257,-3.83317
Macquarie True Index Glbl Rel Est Secs,MAQ0832AU,40377,MAQ0832AU,Unhedged,G-REITS,G-REITS-Unhedged,10.14043,-1.12547,2.17889,-4.6718,1.52683,-4.39344,8.2437,-2.58249,2.0933,4.04235,-3.72874,0.41809,-1.55844,-0.55032,1.65451,0.70062,5.29663,0.81451,2.8812,-1.51665,-2.77247,-5.15685,0.17942,5.01493,-4.10581,1.81832,-0.77123,3.11242,1.31401,-2.21145,-2.18537,0.789,0.75367,1.83707,3.81337,-1.69449,-3.41566,-3.05456,3.886,3.72126,1.40064,3.87025,0.22979,4.01204,-2.33257,-1.70898,0.66373,-2.04119,7.0493,2.33709,4.2115,-0.92974,1.28834,0.27893,2.1725,4.21441,2.2461,0.34323,0.6121,-3.30042,5.88235,-4.72575,-18.63072,0.08425,-1.06367,-1.08425,-1.32456,-0.59293,-0.02346,-1.334,7.88406,-1.17077,-0.23956,2.76955,4.55647,4.92931,1.57542,3.91073,6.07131,1.88873,-4.69116,1.92155,3.56261,3.69743,-2.73374,-5.30902,0.95536,-0.10533,-5.2257,-4.74899,6.40021,-4.80361,-6.62448,3.54387,1.91664,-4,4.88263,-0.11944,-2.59585,3.26322,-2.45619,0.13456,2.50849,0.55719,-5.78286,-2.95011,5.65121,6.35924,-0.92797,0.9218,3.24114,-5.52558,0.96718,-0.08156,8.44985,2.26317,0.74881,0.5341,2.94919,-2.22982
Macquarie Hedged Index Glb Real Est Secs,MAQ0830AU,40375,MAQ0830AU,Hedged,G-REITS,G-REITS-Hedged,6.51764,-0.42141,0.77602,-2.40372,-0.35556,-4.43128,4.52988,-5.96322,1.34,5.62392,-1.23783,0.6435,-3.66405,-0.41196,7.54953,-0.75847,1.41934,2.96234,4.85848,-2.21998,-1.26613,-4.52995,-1.30988,3.51512,-0.52252,3.26028,-1.53411,1.02196,0.49694,0.48792,0.83474,0.22017,-0.12429,0.16839,2.38011,3.39642,-3.61919,-6.27005,2.27356,2.98535,2.17411,2.02286,0.90482,1.23509,-1.83003,-3.19203,3.59624,-6.0516,9.96477,0.32862,3.76679,-1.09691,-0.27128,0.87207,1.01692,1.94858,2.55381,1.7776,-0.9156,-0.24849,1.29223,-8.1079,-23.35034,6.07747,0.216,2.22012,1.21449,1.9929,-2.57164,-3.39928,11.72241,2.44504,-0.5291,3.77176,3.9115,5.68264,1.37196,1.74849,3.87475,1.46345,-5.32257,5.50588,-1.46747,5.85378,-5.49244,-2.52368,4.70443,-4.02098,-4.65309,-7.79785,7.69085,-5.70446,-11.8738,3.09928,4.96527,-3.84505,7.9938,-3.61965,-3.86163,1.96875,-3.84105,2.81399,3.20133,-2.70924,-5.59429,-4.4893,9.01952,8.22875,-3.45065,-0.19346,3.61958,-5.36246,2.82267,0.641,5.5221,4.98162,2.44079,-3.74932,2.61573,-6.3738
Resolution Capital Glbl Ppty Secs UH SII,IOF0184AU,19545,IOF0184AU,Unhedged,G-REITS,G-REITS-Unhedged,9.37952,-0.17401,2.90855,-4.69516,2.29187,-4.18134,9.55954,-2.09887,2.93646,3.86917,-4.167,0.59275,-2.33321,-1.80536,1.95827,0.30194,5.81152,0.09566,2.78589,-1.04682,-3.33771,-3.38509,1.18546,4.82409,-4.60565,1.71119,-0.59227,4.2138,2.29514,-2.1369,-2.26837,1.51037,0.68931,2.95542,3.20305,-0.91449,-2.59658,-3.10737,3.35049,4.14829,0.44692,3.24721,0.23952,3.65495,-1.84521,-2.0169,0.5748,-2.32783,7.52389,3.08775,3.42623,0.10417,1.78993,-0.214,2.29013,5.18436,1.27711,0.89978,1.12608,-3.86529,7.79256,-4.64825,-10.59063,-0.20575,-1.59782,-0.64352,0.7534,-2.00432,-0.51919,-0.60889,2.0288,-1.77792,-0.28808,0.87614,4.9004,4.41982,1.68589,4.34939,6.53464,2.63618,-4.66459,1.9729,4.01277,4.82245,-2.91814,-5.56857,2.32567,1.44371,-6.58389,-5.23026,5.92679,-4.72534,-5.95567,3.67466,1.18147,-5.01512,4.81564,-0.46622,-1.82252,3.42488,-2.71023,0.39851,2.31851,0.69592,-6.13274,-1.33961,5.44954,4.74752,-0.61749,1.84719,3.09151,-4.2705,1.93938,-0.90208,7.49729,1.69899,1.1351,1.69196,2.3726,-2.631
